Id,Label,Hue_Name,Temperature,Start_year,End_year
166,Mandarin,vermilion,Warm,1885,1889
167,Straw,yellow (web color)=lemon yellow,Warm,1885,1890
168,Tomato,vermilion,Warm,1885,1890
169,Light Cornflower,cerulean blue,Cold,1885,1889
170,Cadmium Orange,orange,Warm,1885,1886
171,Steel Blue,azure,Cold,1885,1890
172,Pale Spring,yellow (web color)=lemon yellow,Warm,1885,1888
173,Gunmetal,cerulean blue,Cold,1885,1890
174,Light Sky,cerulean blue,Cold,1885,1890
175,U P,carmine,Warm,1885,1889
176,Red,red,Warm,1885,1890
177,Saffron,golden yellow,Warm,1886,1890
178,Light Periwinkle,"blue, cobalt blue",Cold,1886,1886
179,Pale Turquoise,"turquoise blue, cyan (web color)",Cold,1886,1890
180,Glaucous,azure,Cold,1886,1890
181,Middle Green,yellowish green,Warm,1886,1890
182,Dark Slate,"turquoise blue, cyan (web color)",Cold,1886,18881889
183,Cerulean Frost,azure,Cold,1886,1890
184,Beige,yellow (web color)=lemon yellow,Warm,1886,1888
185,Slate Gray,azure,Cold,1886,1890
186,Cadet Blue,"turquoise blue, cyan (web color)",Cold,1886,1890
187,Tea Green,leaf green,Cold,1886,1889
188,Corn,yellow (web color)=lemon yellow,Warm,1886,1890
189,Pewter Blue,cerulean blue,Cold,1886,1890
190,Dodger Blue,azure,Cold,1886,1890
191,Royal Blue,"blue, cobalt blue",Cold,1886,1890
192,Lapis Lazuli,azure,Cold,1886,1890
193,Teal Blue,cerulean blue,Cold,1886,1890
194,Brunswick Green,"turquoise green, bluish green",Cold,1886,1886
195,Phthalo Green,emerald green,Cold,1886,1888
196,Carnelian,red,Warm,1886,1890
197,Cornflower Blue,"blue, cobalt blue",Cold,1886,1887
198,Olive,yellow (web color)=lemon yellow,Warm,1886,1887
199,Olive Drab,yellowish green,Warm,1886,1890
200,Blue Bell,blue (web color)=ultramarine,Cold,1886,1890
201,Cardinal,carmine,Warm,1886,1886
202,Madder Lake,carmine,Warm,1886,1889
203,Vivid Tangerine,vermilion,Warm,1886,1886
204,Coral Pink,red,Warm,1886,1886
205,Claret,carmine,Warm,1886,1886
206,Venetian Red,carmine,Warm,1886,1890
207,Light Slate,azure,Cold,1886,1889
208,Gamboge,golden yellow,Warm,1886,1888
209,Japanese Carmine,carmine,Warm,1886,1886
210,Iceberg,azure,Cold,1887,1890
211,Russian Green,green,Cold,1887,1890
212,Twilight Lavender,"ruby red, crimson",Warm,1887,1887
213,Opera Maue,reddish purple,Cold,1887,1887
214,Orange,golden yellow,Warm,1887,1890
215,Mahogany,vermilion,Warm,1887,1889
216,Hunter Green,cobalt green,Cold,1887,1890
217,M S,"turquoise green, bluish green",Cold,1887,1888
218,Jasmine,golden yellow,Warm,1887,1890
219,Pale Green,green,Cold,1887,1890
220,May Green,leaf green,Cold,1887,1890
221,Yellow Green,yellowish green,Warm,1887,1890
222,Jonquil,golden yellow,Warm,1887,1889
223,Mode Beige,golden yellow,Warm,1887,1890
224,Little Boy,azure,Cold,1887,1890
225,Portland Orange,vermilion,Warm,1887,1888
226,Fire Opal,red,Warm,1887,1887
227,Cambridge Blue,cobalt green,Cold,1887,1889
228,Pine Tree,"yellowish green, chartreuse",Cold,1887,1890
229,Charcoal,azure,Cold,1887,1890
230,Han Blue,"blue, cobalt blue",Cold,1887,1890
231,United Nations,azure,Cold,1887,1890
232,Sap Green,"yellowish green, chartreuse",Cold,1887,1890
233,Old Mauve,"ruby red, crimson",Warm,1887,1888
234,Myrtle Green,"turquoise blue, cyan (web color)",Cold,1887,1889
235,Midnight Blue,blue (web color)=ultramarine,Cold,1887,1887
236,Dark Orange,orange,Warm,1887,1890
237,Spanish Orange,orange,Warm,1887,1887
238,Carrot Orange,orange,Warm,1887,18881889
239,Citrine,yellow (web color)=lemon yellow,Warm,1887,1889
240,Green Sheen,"turquoise green, bluish green",Cold,1887,1890
241,Honolulu Blue,azure,Cold,1887,1887
242,Dark Sky,cerulean blue,Cold,1887,1890
243,Alizarin,carmine,Warm,1887,1887
244,Burnished Brown,vermilion,Warm,1887,1890
245,Old Rose,carmine,Warm,1887,1887
246,Cinnabar,red,Warm,1887,1890
